ambient_temp,humidity,body_temp,duration,hour,heat_index,temp_humidity_stress,body_temp_deviation,time_of_day,wbgt,feels_like_delta,body_heat_ratio,rh_temp_product,cooling_capacity,is_afternoon,city,activity_level,risk_label
32.18,52.29,37.78,2.9,12,35.28,16.827,0.78,1,26.87,3.1,1.174,1682.7,47.7,1,Jaipur,Heavy Work,Moderate Risk
46.06,54.53,39.6,71.2,21,65.0,25.117,2.6,3,39.85,18.94,0.8597,2511.7,45.5,0,Ahmedabad,Rest,Critical Risk
34.62,63.63,38.76,146.9,10,45.66,22.029,1.76,0,30.54,11.04,1.1196,2202.9,36.4,0,Mumbai,Moderate Work,High Risk
24.67,50.1,35.97,26.5,16,25.71,12.36,-1.03,1,19.81,1.04,1.458,1236.0,49.9,1,Ahmedabad,Rest,Low Risk
35.62,56.71,39.3,167.3,9,45.27,20.2,2.3,0,30.59,9.65,1.1033,2020.0,43.3,0,Chennai,Rest,High Risk
27.39,43.54,36.27,9.3,22,27.37,11.926,-0.73,3,21.49,-0.02,1.3242,1192.6,56.5,0,Jaipur,Light Work,Low Risk
46.88,74.32,40.56,141.2,3,65.0,34.841,3.56,3,40.0,18.12,0.8652,3484.1,25.7,0,Ahmedabad,Heavy Work,Critical Risk
24.71,23.88,36.07,38.4,0,25.0,5.901,-0.93,3,16.62,0.29,1.4597,590.1,76.1,0,Nagpur,Rest,Low Risk
44.11,80.92,41.52,169.8,16,65.0,35.694,4.52,1,40.0,20.89,0.9413,3569.4,19.1,1,Ahmedabad,Rest,Critical Risk
39.74,38.35,38.55,49.4,21,46.69,15.24,1.55,3,31.49,6.95,0.9701,1524.0,61.6,0,Jaipur,Moderate Work,High Risk
32.27,52.17,38.31,104.9,19,35.43,16.835,1.31,2,26.93,3.16,1.1872,1683.5,47.8,0,Nagpur,Rest,Moderate Risk
34.94,50.95,38.77,118.1,9,40.91,17.802,1.77,0,29.19,5.97,1.1096,1780.2,49.0,0,Chennai,Rest,High Risk
35.69,52.18,39.12,114.2,10,43.32,18.623,2.12,0,30.04,7.63,1.0961,1862.3,47.8,0,Bhubaneswar,Light Work,High Risk
33.85,18.04,36.11,44.0,7,31.65,6.107,-0.89,0,22.69,-2.2,1.0668,610.7,82.0,0,Pune,Heavy Work,Low Risk
22.44,29.44,36.05,15.0,7,24.59,6.606,-0.95,0,15.52,2.15,1.6065,660.6,70.6,0,Ahmedabad,Rest,Low Risk
36.24,41.3,38.39,3.4,0,40.11,14.967,1.39,3,28.94,3.87,1.0593,1496.7,58.7,0,Pune,Light Work,Moderate Risk
33.12,18.56,36.83,42.6,10,30.96,6.147,-0.17,0,22.24,-2.16,1.112,614.7,81.4,0,Pune,Light Work,Low Risk
33.03,50.31,37.84,110.0,20,36.44,16.617,0.84,2,27.38,3.41,1.1456,1661.7,49.7,0,Bhubaneswar,Moderate Work,Moderate Risk
28.3,53.61,37.41,28.8,19,29.17,15.172,0.41,2,23.5,0.87,1.3219,1517.2,46.4,0,Delhi,Light Work,Low Risk
33.76,48.01,37.02,20.2,16,37.24,16.208,0.02,1,27.73,3.48,1.0966,1620.8,52.0,1,Bhubaneswar,Rest,Moderate Risk
27.58,26.68,36.89,55.1,7,26.67,7.358,-0.11,0,19.35,-0.91,1.3376,735.8,73.3,0,Nagpur,Rest,Low Risk
36.04,53.87,39.61,161.5,16,45.06,19.415,2.61,1,30.59,9.02,1.0991,1941.5,46.1,1,Chennai,Heavy Work,High Risk
28.98,48.03,36.69,16.1,1,29.4,13.919,-0.31,3,23.45,0.42,1.266,1391.9,52.0,0,Pune,Moderate Work,Low Risk
24.06,60.09,37.25,57.3,7,25.3,14.458,0.25,0,20.29,1.24,1.5482,1445.8,39.9,0,Bhubaneswar,Heavy Work,Low Risk
45.29,74.87,41.19,110.8,23,65.0,33.909,4.19,3,40.0,19.71,0.9095,3390.9,25.1,0,Delhi,Moderate Work,Critical Risk
25.87,43.98,37.25,54.4,14,26.26,11.378,0.25,1,20.2,0.39,1.4399,1137.8,56.0,1,Pune,Moderate Work,Low Risk
32.19,53.57,37.19,45.7,3,35.64,17.244,0.19,3,27.04,3.45,1.1553,1724.4,46.4,0,Jaipur,Light Work,Moderate Risk
45.31,84.34,41.54,67.1,19,65.0,38.214,4.54,2,40.0,19.69,0.9168,3821.4,15.7,0,Hyderabad,Light Work,Critical Risk
29.81,55.2,37.29,16.1,6,31.61,16.455,0.29,0,25.06,1.8,1.2509,1645.5,44.8,0,Chennai,Light Work,Low Risk
38.41,44.0,38.13,62.6,12,46.39,16.9,1.13,1,31.27,7.98,0.9927,1690.0,56.0,1,Pune,Light Work,High Risk
40.36,89.37,40.17,91.0,1,65.0,36.07,3.17,3,39.21,24.64,0.9953,3607.0,10.6,0,Mumbai,Light Work,Critical Risk
43.67,62.86,41.64,148.3,20,65.0,27.451,4.64,2,38.92,21.33,0.9535,2745.1,37.1,0,Mumbai,Rest,Critical Risk
43.31,84.1,41.48,65.6,16,65.0,36.424,4.48,1,40.0,21.69,0.9577,3642.4,15.9,1,Delhi,Heavy Work,Critical Risk
35.97,51.37,39.78,159.4,9,43.68,18.478,2.78,0,30.18,7.71,1.1059,1847.8,48.6,0,Pune,Moderate Work,High Risk
29.76,58.29,36.58,36.0,3,32.06,17.347,-0.42,3,25.38,2.3,1.2292,1734.7,41.7,0,Pune,Heavy Work,Low Risk
33.68,39.45,37.83,35.6,8,34.76,13.287,0.83,0,26.43,1.08,1.1232,1328.7,60.5,0,Jaipur,Heavy Work,Moderate Risk
27.2,49.37,37.21,4.0,11,27.57,13.429,0.21,0,22.01,0.37,1.368,1342.9,50.6,1,Delhi,Rest,Low Risk
30.67,46.48,38.07,102.3,11,31.47,14.255,1.07,0,24.76,0.8,1.2413,1425.5,53.5,1,Pune,Rest,Moderate Risk
28.17,15.69,37.29,41.2,19,26.78,4.42,0.29,2,17.88,-1.39,1.3237,442.0,84.3,0,Pune,Rest,Low Risk
39.89,81.95,39.76,112.2,17,65.0,32.69,2.76,2,37.84,25.11,0.9967,3269.0,18.0,0,Mumbai,Moderate Work,Critical Risk
32.28,53.78,37.94,2.5,17,35.89,17.36,0.94,2,27.15,3.61,1.1753,1736.0,46.2,0,Delhi,Heavy Work,Moderate Risk
46.86,63.53,41.53,140.2,10,65.0,29.77,4.53,0,40.0,18.14,0.8863,2977.0,36.5,0,Ahmedabad,Light Work,Critical Risk
34.94,53.38,39.47,62.0,2,41.9,18.651,2.47,3,29.52,6.96,1.1297,1865.1,46.6,0,Kolkata,Moderate Work,High Risk
30.16,16.02,36.13,55.7,0,28.28,4.832,-0.87,3,19.45,-1.88,1.1979,483.2,84.0,0,Delhi,Rest,Low Risk
42.55,72.8,41.02,62.1,13,65.0,30.976,4.02,1,39.24,22.45,0.964,3097.6,27.2,1,Delhi,Rest,Critical Risk
41.61,71.72,41.2,132.4,14,65.0,29.843,4.2,1,38.2,23.39,0.9901,2984.3,28.3,1,Bhubaneswar,Moderate Work,Critical Risk
51.33,54.44,41.39,134.8,23,65.0,27.944,4.39,3,40.0,13.67,0.8064,2794.4,45.6,0,Ahmedabad,Heavy Work,Critical Risk
48.81,81.74,41.7,168.9,13,65.0,39.897,4.7,1,40.0,16.19,0.8543,3989.7,18.3,1,Chennai,Heavy Work,Critical Risk
32.95,62.62,37.69,119.6,7,40.35,20.633,0.69,0,28.86,7.4,1.1439,2063.3,37.4,0,Pune,Light Work,Moderate Risk
30.64,68.55,37.2,76.7,11,36.25,21.004,0.2,0,27.37,5.61,1.2141,2100.4,31.5,1,Mumbai,Moderate Work,Moderate Risk
34.46,63.22,39.62,100.6,8,44.96,21.786,2.62,0,30.34,10.5,1.1497,2178.6,36.8,0,Mumbai,Moderate Work,High Risk
28.77,35.67,37.13,56.7,3,28.04,10.262,0.13,3,21.66,-0.73,1.2906,1026.2,64.3,0,Ahmedabad,Heavy Work,Low Risk
36.02,56.09,38.69,153.5,12,46.12,20.204,1.69,1,30.87,10.1,1.0741,2020.4,43.9,1,Jaipur,Rest,High Risk
29.36,42.83,37.24,50.1,15,29.27,12.575,0.24,1,23.13,-0.09,1.2684,1257.5,57.2,1,Nagpur,Moderate Work,Low Risk
33.63,45.76,38.48,102.2,6,36.31,15.389,1.48,0,27.3,2.68,1.1442,1538.9,54.2,0,Chennai,Rest,Moderate Risk
29.75,36.16,36.57,19.4,12,29.02,10.758,-0.43,1,22.57,-0.73,1.2292,1075.8,63.8,1,Kolkata,Heavy Work,Low Risk
44.73,80.14,42.15,91.5,18,65.0,35.847,5.15,2,40.0,20.27,0.9423,3584.7,19.9,0,Jaipur,Heavy Work,Critical Risk
34.64,48.03,37.56,40.6,20,39.12,16.638,0.56,2,28.52,4.48,1.0843,1663.8,52.0,0,Pune,Heavy Work,Moderate Risk
43.32,74.43,41.38,106.9,21,65.0,32.243,4.38,3,40.0,21.68,0.9552,3224.3,25.6,0,Jaipur,Heavy Work,Critical Risk
30.71,64.33,38.06,45.2,23,35.3,19.756,1.06,3,26.96,4.59,1.2393,1975.6,35.7,0,Kolkata,Light Work,Moderate Risk
41.35,92.82,40.92,128.5,23,65.0,38.381,3.92,3,40.0,23.65,0.9896,3838.1,7.2,0,Hyderabad,Rest,Critical Risk
30.49,26.32,36.63,13.0,20,28.95,8.025,-0.37,2,21.66,-1.54,1.2014,802.5,73.7,0,Hyderabad,Heavy Work,Low Risk
32.13,36.92,38.34,88.9,4,31.93,11.862,1.34,3,24.71,-0.2,1.1933,1186.2,63.1,0,Ahmedabad,Moderate Work,Moderate Risk
31.52,75.12,37.82,43.9,0,40.81,23.678,0.82,3,28.93,9.29,1.1999,2367.8,24.9,0,Pune,Rest,Moderate Risk
41.49,94.96,40.7,129.6,22,65.0,39.399,3.7,3,40.0,23.51,0.981,3939.9,5.0,0,Pune,Heavy Work,Critical Risk
30.08,83.57,37.77,110.6,11,38.97,25.138,0.77,0,28.44,8.89,1.2557,2513.8,16.4,1,Mumbai,Heavy Work,Moderate Risk
26.39,58.63,36.77,52.3,20,27.28,15.472,-0.23,2,22.3,0.89,1.3933,1547.2,41.4,0,Delhi,Moderate Work,Low Risk
25.39,24.08,37.37,57.9,0,25.32,6.114,0.37,3,17.19,-0.07,1.4718,611.4,75.9,0,Jaipur,Light Work,Low Risk
43.06,72.13,40.92,85.5,14,65.0,31.059,3.92,1,39.64,21.94,0.9503,3105.9,27.9,1,Nagpur,Light Work,Critical Risk
49.16,96.07,39.8,164.8,5,65.0,47.228,2.8,0,40.0,15.84,0.8096,4722.8,3.9,0,Bhubaneswar,Moderate Work,Critical Risk
37.83,43.91,39.37,140.7,17,44.88,16.611,2.37,2,30.75,7.05,1.0407,1661.1,56.1,0,Nagpur,Light Work,High Risk
36.19,55.31,38.24,30.2,22,46.22,20.017,1.24,3,30.92,10.03,1.0566,2001.7,44.7,0,Delhi,Heavy Work,High Risk
27.16,59.5,36.4,1.9,11,28.25,16.16,-0.6,0,23.1,1.09,1.3402,1616.0,40.5,1,Nagpur,Rest,Low Risk
35.88,36.43,38.16,145.3,11,37.75,13.071,1.16,0,27.85,1.87,1.0635,1307.1,63.6,1,Jaipur,Rest,High Risk
36.64,17.25,37.38,9.7,13,34.53,6.32,0.38,1,24.62,-2.11,1.0202,632.0,82.8,1,Delhi,Moderate Work,Low Risk
38.02,38.96,37.81,48.6,2,43.0,14.813,0.81,3,30.11,4.98,0.9945,1481.3,61.0,0,Jaipur,Light Work,High Risk
46.88,61.41,42.04,104.5,12,65.0,28.789,5.04,1,40.0,18.12,0.8968,2878.9,38.6,1,Bhubaneswar,Moderate Work,Critical Risk
33.1,51.54,38.3,15.8,7,36.95,17.06,1.3,0,27.61,3.85,1.1571,1706.0,48.5,0,Pune,Heavy Work,Moderate Risk
30.09,59.98,37.76,84.6,5,33.0,18.048,0.76,0,25.88,2.91,1.2549,1804.8,40.0,0,Bhubaneswar,Light Work,Moderate Risk
30.35,53.0,37.71,16.6,0,32.11,16.086,0.71,3,25.29,1.76,1.2425,1608.6,47.0,0,Chennai,Light Work,Moderate Risk
24.83,61.58,35.82,58.3,9,25.85,15.29,-1.18,0,21.15,1.02,1.4426,1529.0,38.4,0,Delhi,Rest,Low Risk
43.25,95.2,41.4,179.3,22,65.0,41.174,4.4,3,40.0,21.75,0.9572,4117.4,4.8,0,Mumbai,Light Work,Critical Risk
37.95,45.25,38.95,32.5,3,45.86,17.172,1.95,3,31.06,7.91,1.0264,1717.2,54.8,0,Jaipur,Moderate Work,High Risk
43.56,84.18,42.13,141.1,21,65.0,36.669,5.13,3,40.0,21.44,0.9672,3666.9,15.8,0,Mumbai,Heavy Work,Critical Risk
37.41,48.07,39.43,175.1,19,45.89,17.983,2.43,2,31.01,8.48,1.054,1798.3,51.9,0,Ahmedabad,Moderate Work,High Risk
28.74,49.53,37.26,13.1,10,29.28,14.235,0.26,0,23.42,0.54,1.2965,1423.5,50.5,0,Bhubaneswar,Heavy Work,Low Risk
42.21,73.8,41.26,90.6,0,65.0,31.151,4.26,3,39.05,22.79,0.9775,3115.1,26.2,0,Ahmedabad,Light Work,Critical Risk
29.44,63.29,36.72,29.7,17,32.39,18.633,-0.28,2,25.65,2.95,1.2473,1863.3,36.7,0,Mumbai,Moderate Work,Low Risk
31.29,73.42,37.88,25.7,15,39.51,22.973,0.88,1,28.53,8.22,1.2106,2297.3,26.6,1,Mumbai,Heavy Work,Moderate Risk
27.23,57.65,36.55,28.0,23,28.19,15.698,-0.45,3,22.97,0.96,1.3423,1569.8,42.4,0,Chennai,Moderate Work,Low Risk
31.09,64.71,37.12,51.5,10,36.29,20.118,0.12,0,27.36,5.2,1.194,2011.8,35.3,0,Bhubaneswar,Rest,Moderate Risk
37.23,43.34,38.82,50.9,6,43.15,16.135,1.82,0,30.13,5.92,1.0427,1613.5,56.7,0,Ahmedabad,Heavy Work,High Risk
35.12,52.46,39.14,172.0,10,41.97,18.424,2.14,0,29.56,6.85,1.1145,1842.4,47.5,0,Pune,Light Work,High Risk
24.01,40.89,37.34,11.3,3,25.32,9.818,0.34,3,18.21,1.31,1.5552,981.8,59.1,0,Bhubaneswar,Heavy Work,Low Risk
27.2,48.1,36.76,21.0,12,27.49,13.083,-0.24,1,21.86,0.29,1.3515,1308.3,51.9,1,Nagpur,Rest,Low Risk
22.33,22.55,36.11,26.8,7,24.07,5.035,-0.89,0,14.54,1.74,1.6171,503.5,77.5,0,Delhi,Rest,Low Risk
26.66,59.34,37.2,22.2,8,27.63,15.82,0.2,0,22.62,0.97,1.3953,1582.0,40.7,0,Chennai,Rest,Low Risk
43.34,52.26,40.26,165.9,10,65.0,22.649,3.26,0,37.0,21.66,0.9289,2264.9,47.7,0,Nagpur,Rest,Critical Risk
51.29,83.65,40.65,123.3,0,65.0,42.904,3.65,3,40.0,13.71,0.7926,4290.4,16.3,0,Jaipur,Light Work,Critical Risk
49.79,95.22,41.65,63.6,0,65.0,47.41,4.65,3,40.0,15.21,0.8365,4741.0,4.8,0,Mumbai,Light Work,Critical Risk
31.69,58.87,37.45,17.4,20,36.04,18.656,0.45,2,27.23,4.35,1.1818,1865.6,41.1,0,Kolkata,Light Work,Moderate Risk
30.35,54.82,37.91,102.9,5,32.45,16.638,0.91,0,25.51,2.1,1.2491,1663.8,45.2,0,Hyderabad,Light Work,Moderate Risk
46.79,98.0,39.88,115.1,10,65.0,45.854,2.88,0,40.0,18.21,0.8523,4585.4,2.0,0,Chennai,Light Work,Critical Risk
35.93,53.88,38.76,47.4,15,44.76,19.359,1.76,1,30.49,8.83,1.0788,1935.9,46.1,1,Delhi,Light Work,High Risk
30.65,62.5,38.07,82.6,10,34.71,19.156,1.07,0,26.69,4.06,1.2421,1915.6,37.5,0,Chennai,Light Work,Moderate Risk
31.25,22.43,36.87,20.8,7,29.42,7.009,-0.13,0,21.57,-1.83,1.1798,700.9,77.6,0,Hyderabad,Rest,Low Risk
44.11,92.8,41.93,93.9,21,65.0,40.934,4.93,3,40.0,20.89,0.9506,4093.4,7.2,0,Pune,Rest,Critical Risk
42.65,68.03,41.56,139.8,12,65.0,29.015,4.56,1,38.69,22.35,0.9744,2901.5,32.0,1,Nagpur,Light Work,Critical Risk
29.05,58.62,37.14,38.2,4,30.91,17.029,0.14,3,24.76,1.86,1.2785,1702.9,41.4,0,Ahmedabad,Heavy Work,Low Risk
31.03,54.84,38.43,31.8,18,33.69,17.017,1.43,2,26.14,2.66,1.2385,1701.7,45.2,0,Hyderabad,Rest,Moderate Risk
35.58,46.72,38.3,2.1,10,40.74,16.623,1.3,0,29.17,5.16,1.0764,1662.3,53.3,0,Kolkata,Moderate Work,Moderate Risk
36.1,52.19,39.71,148.6,3,44.42,18.841,2.71,3,30.42,8.32,1.1,1884.1,47.8,0,Hyderabad,Light Work,High Risk
44.62,71.3,41.4,88.2,13,65.0,31.814,4.4,1,40.0,20.38,0.9278,3181.4,28.7,1,Ahmedabad,Moderate Work,Critical Risk
36.29,46.93,39.42,52.0,16,42.5,17.031,2.42,1,29.84,6.21,1.0862,1703.1,53.1,1,Nagpur,Light Work,High Risk
50.01,72.91,41.52,104.9,1,65.0,36.462,4.52,3,40.0,14.99,0.8302,3646.2,27.1,0,Bhubaneswar,Heavy Work,Critical Risk
49.41,84.0,41.82,163.1,2,65.0,41.504,4.82,3,40.0,15.59,0.8464,4150.4,16.0,0,Ahmedabad,Rest,Critical Risk
44.11,81.79,40.25,168.8,17,65.0,36.078,3.25,2,40.0,20.89,0.9125,3607.8,18.2,0,Nagpur,Light Work,Critical Risk
33.32,52.98,37.79,24.7,21,37.88,17.653,0.79,3,27.99,4.56,1.1342,1765.3,47.0,0,Nagpur,Moderate Work,Moderate Risk
38.91,42.12,38.79,99.4,7,46.67,16.389,1.79,0,31.41,7.76,0.9969,1638.9,57.9,0,Delhi,Light Work,High Risk
36.2,55.09,39.0,107.5,21,46.13,19.943,2.0,3,30.9,9.93,1.0773,1994.3,44.9,0,Delhi,Light Work,High Risk
30.23,19.2,37.1,47.9,22,28.4,5.804,0.1,3,20.15,-1.83,1.2273,580.4,80.8,0,Pune,Light Work,Low Risk
35.57,40.82,39.29,118.4,1,38.57,14.52,2.29,3,28.28,3.0,1.1046,1452.0,59.2,0,Delhi,Heavy Work,High Risk
36.68,48.63,38.55,40.3,13,44.25,17.837,1.55,1,30.43,7.57,1.051,1783.7,51.4,1,Ahmedabad,Moderate Work,High Risk
30.9,40.2,36.19,39.7,23,30.81,12.422,-0.81,3,24.12,-0.09,1.1712,1242.2,59.8,0,Bhubaneswar,Rest,Low Risk
50.4,78.65,41.12,82.6,16,65.0,39.64,4.12,1,40.0,14.6,0.8159,3964.0,21.3,1,Chennai,Rest,Critical Risk
45.81,64.74,41.18,158.1,23,65.0,29.657,4.18,3,40.0,19.19,0.8989,2965.7,35.3,0,Hyderabad,Heavy Work,Critical Risk
35.22,48.28,37.31,54.1,6,40.52,17.004,0.31,0,29.07,5.3,1.0593,1700.4,51.7,0,Bhubaneswar,Moderate Work,Moderate Risk
49.46,55.55,40.6,98.4,16,65.0,27.475,3.6,1,40.0,15.54,0.8209,2747.5,44.5,1,Delhi,Light Work,Critical Risk
30.05,69.0,35.77,0.5,20,34.92,20.735,-1.23,2,26.85,4.87,1.1903,2073.5,31.0,0,Chennai,Moderate Work,Low Risk
41.97,98.0,41.04,162.2,0,65.0,41.131,4.04,3,40.0,23.03,0.9778,4113.1,2.0,0,Mumbai,Light Work,Critical Risk
38.21,45.15,39.85,125.5,3,46.49,17.252,2.85,3,31.28,8.28,1.0429,1725.2,54.9,0,Pune,Moderate Work,High Risk
36.64,49.58,39.11,130.3,12,44.6,18.166,2.11,1,30.54,7.96,1.0674,1816.6,50.4,1,Hyderabad,Moderate Work,High Risk
33.28,45.38,37.64,39.5,17,35.55,15.102,0.64,2,26.94,2.27,1.131,1510.2,54.6,0,Ahmedabad,Light Work,Moderate Risk
30.29,29.1,35.85,9.2,3,28.96,8.814,-1.15,3,21.95,-1.33,1.1836,881.4,70.9,0,Kolkata,Heavy Work,Low Risk
24.9,70.54,36.11,41.7,10,25.86,17.564,-0.89,0,22.11,0.96,1.4502,1756.4,29.5,0,Kolkata,Rest,Low Risk
45.39,63.99,41.12,83.2,17,65.0,29.045,4.12,2,40.0,19.61,0.9059,2904.5,36.0,0,Ahmedabad,Heavy Work,Critical Risk
29.81,52.82,38.48,72.7,12,31.21,15.746,1.48,1,24.78,1.4,1.2908,1574.6,47.2,1,Mumbai,Light Work,Moderate Risk
33.34,28.82,35.94,20.4,1,32.25,9.609,-1.06,3,24.42,-1.09,1.078,960.9,71.2,0,Kolkata,Light Work,Low Risk
31.7,52.26,38.32,20.7,3,34.35,16.566,1.32,3,26.43,2.65,1.2088,1656.6,47.7,0,Kolkata,Light Work,Moderate Risk
46.44,66.13,39.59,105.3,2,65.0,30.711,2.59,3,40.0,18.56,0.8525,3071.1,33.9,0,Mumbai,Rest,Critical Risk
44.7,98.0,41.25,104.7,12,65.0,43.806,4.25,1,40.0,20.3,0.9228,4380.6,2.0,1,Bhubaneswar,Light Work,Critical Risk
44.96,58.88,40.62,134.5,4,65.0,26.472,3.62,3,39.52,20.04,0.9035,2647.2,41.1,0,Nagpur,Heavy Work,Critical Risk
31.92,51.57,37.38,84.8,2,34.6,16.461,0.38,3,26.54,2.68,1.1711,1646.1,48.4,0,Chennai,Rest,Moderate Risk
37.96,42.3,38.9,73.6,3,44.41,16.057,1.9,3,30.61,6.45,1.0248,1605.7,57.7,0,Jaipur,Light Work,High Risk
31.78,40.87,38.3,22.9,0,32.12,12.988,1.3,3,24.98,0.34,1.2052,1298.8,59.1,0,Hyderabad,Heavy Work,Moderate Risk
33.18,58.97,38.39,82.2,18,39.6,19.566,1.39,2,28.62,6.42,1.157,1956.6,41.0,0,Pune,Rest,Moderate Risk
35.85,13.77,35.98,15.8,17,33.32,4.937,-1.02,2,23.13,-2.53,1.0036,493.7,86.2,0,Jaipur,Rest,Low Risk
32.27,44.73,37.54,103.8,0,33.63,14.434,0.54,3,25.95,1.36,1.1633,1443.4,55.3,0,Ahmedabad,Moderate Work,Moderate Risk
35.93,56.84,39.6,63.4,8,46.24,20.423,2.6,0,30.89,10.31,1.1021,2042.3,43.2,0,Bhubaneswar,Heavy Work,High Risk
47.72,60.31,39.99,127.9,11,65.0,28.78,2.99,0,40.0,17.28,0.838,2878.0,39.7,1,Nagpur,Rest,Critical Risk
23.74,60.99,36.31,57.8,8,25.08,14.479,-0.69,0,20.08,1.34,1.5295,1447.9,39.0,0,Nagpur,Moderate Work,Low Risk
35.86,43.29,39.63,133.9,3,40.04,15.524,2.63,3,28.91,4.18,1.1051,1552.4,56.7,0,Ahmedabad,Moderate Work,High Risk
34.89,61.38,39.99,31.9,18,45.39,21.415,2.99,2,30.51,10.5,1.1462,2141.5,38.6,0,Mumbai,Rest,High Risk
37.18,50.62,38.64,93.8,22,46.6,18.821,1.64,3,31.17,9.42,1.0393,1882.1,49.4,0,Delhi,Moderate Work,High Risk
48.82,71.5,40.99,103.2,23,65.0,34.906,3.99,3,40.0,16.18,0.8396,3490.6,28.5,0,Jaipur,Light Work,Critical Risk
30.74,56.66,38.12,108.6,8,33.54,17.417,1.12,0,26.09,2.8,1.2401,1741.7,43.3,0,Hyderabad,Rest,Moderate Risk
44.2,62.05,41.91,171.6,16,65.0,27.426,4.91,1,39.29,20.8,0.9482,2742.6,38.0,1,Bhubaneswar,Heavy Work,Critical Risk
26.41,47.0,36.54,38.4,3,26.76,12.413,-0.46,3,21.03,0.35,1.3836,1241.3,53.0,0,Jaipur,Light Work,Low Risk
47.9,69.21,41.83,156.7,9,65.0,33.152,4.83,0,40.0,17.1,0.8733,3315.2,30.8,0,Nagpur,Light Work,Critical Risk
44.7,77.61,40.3,155.6,23,65.0,34.692,3.3,3,40.0,20.3,0.9016,3469.2,22.4,0,Pune,Light Work,Critical Risk
29.33,47.45,36.23,53.4,6,29.77,13.917,-0.77,0,23.69,0.44,1.2353,1391.7,52.5,0,Ahmedabad,Moderate Work,Low Risk
43.53,74.01,40.28,95.3,10,65.0,32.217,3.28,0,40.0,21.47,0.9253,3221.7,26.0,0,Ahmedabad,Light Work,Critical Risk
