ambient_temp,humidity,body_temp,duration,hour,heat_index,risk_label
27.5,35.4,36.8,15.0,6,27.0,0
32.3,39.0,31.43,4.5,20,32.53,1
32.3,41.0,30.59,31.5,21,32.91,1
37.7,48.6,37.4,20.0,13,46.96,1
26.1,52.4,36.7,10.0,8,26.73,0
35.6,49.0,37.9,20.0,9,41.71,1
41.4,79.2,40.4,90.0,14,90.04,3
45.1,91.4,40.7,75.0,15,136.72,3
37.8,38.5,37.5,15.0,13,42.31,1
32.3,39.0,31.53,9.7,20,32.53,1
26.7,23.8,36.2,20.0,9,26.02,0
34.9,63.9,37.6,15.0,12,46.68,1
35.6,54.0,38.4,45.0,16,43.91,2
25.2,52.1,37.1,15.0,6,26.05,0
41.7,99.1,40.6,75.0,15,120.69,3
26.3,45.9,36.2,5.0,7,26.63,0
41.6,27.0,32.83,7.7,14,44.82,1
27.0,20.4,37.0,5.0,9,26.1,0
26.8,32.3,37.3,20.0,7,26.39,0
40.6,98.7,39.0,60.0,16,110.88,3
35.4,48.3,38.4,45.0,14,40.95,2
47.3,82.3,40.7,60.0,12,137.69,3
40.6,76.1,38.6,90.0,13,81.56,2
27.4,25.6,36.4,20.0,7,26.51,0
29.4,46.8,37.8,30.0,12,29.78,1
31.8,41.0,30.81,29.7,21,32.17,1
43.0,26.0,32.27,7.2,14,47.03,1
26.8,38.3,36.6,5.0,6,26.64,0
32.3,41.0,30.45,32.7,21,32.91,1
43.8,74.1,38.0,30.0,14,98.2,2
41.4,87.6,40.0,120.0,15,101.18,3
41.0,62.5,38.0,30.0,15,69.21,2
31.8,41.0,30.87,29.6,21,32.17,1
36.0,77.8,38.8,90.0,16,59.54,2
25.9,23.7,36.3,10.0,10,25.57,0
32.3,41.0,30.79,32.0,21,32.91,1
40.7,33.0,34.33,4.3,14,46.04,1
32.3,41.0,26.05,1.4,14,32.91,1
30.2,46.0,29.57,0.5,10,30.72,1
36.6,72.1,38.1,60.0,14,58.05,2
25.2,33.0,36.2,10.0,7,25.56,0
44.4,70.7,40.3,60.0,12,97.03,3
40.5,66.0,38.7,90.0,13,70.34,2
26.7,21.4,36.4,20.0,7,25.94,0
26.5,34.5,36.7,20.0,7,26.29,0
37.2,58.8,38.2,90.0,15,51.37,2
43.4,81.5,38.8,45.0,16,106.47,2
47.9,88.0,39.2,105.0,16,154.87,3
30.2,35.6,37.8,20.0,13,29.44,1
25.2,34.9,36.7,10.0,8,25.62,0
26.8,20.2,37.2,10.0,8,25.97,0
37.2,32.4,37.7,30.0,13,38.84,1
42.7,62.5,38.9,60.0,11,77.17,2
25.8,45.0,36.9,15.0,10,26.25,0
32.3,39.0,31.55,9.8,20,32.53,1
44.9,70.4,39.8,105.0,14,99.67,3
32.3,39.0,30.51,8.5,20,32.53,1
33.3,39.5,37.6,45.0,14,34.15,1
31.8,40.0,30.91,27.4,21,31.99,1
27.1,34.4,37.1,10.0,9,26.67,0
25.8,20.8,36.8,15.0,10,25.41,0
31.8,40.0,30.57,29.9,21,31.99,1
32.3,39.0,31.53,3.0,20,32.53,1
37.9,68.3,38.2,90.0,12,60.72,2
25.7,23.7,37.2,15.0,6,25.46,0
30.2,46.0,29.43,4.4,10,30.72,1
32.1,57.3,37.7,30.0,13,36.5,1
32.3,39.0,31.67,0.9,20,32.53,1
31.8,41.0,30.63,30.1,21,32.17,1
30.2,46.0,29.39,4.8,10,30.72,1
44.3,85.3,40.8,120.0,12,119.21,3
38.5,61.5,38.1,60.0,14,57.92,2
41.9,68.0,38.5,60.0,16,79.4,2
25.6,49.0,37.0,10.0,9,26.24,0
25.0,29.5,37.4,5.0,8,25.35,0
25.5,20.7,36.8,10.0,8,25.24,0
42.3,77.3,38.8,60.0,16,93.19,2
38.3,45.2,37.4,20.0,11,46.75,1
32.3,39.0,31.15,8.6,20,32.53,1
38.5,35.0,33.41,8.9,14,42.3,1
42.2,77.5,39.5,120.0,13,92.83,3
37.4,67.7,38.3,45.0,13,58.18,2
46.1,64.6,39.5,90.0,12,98.17,3
25.2,46.3,36.7,10.0,9,25.93,0
26.2,23.6,36.8,15.0,8,25.73,0
27.1,36.0,36.4,15.0,8,26.74,0
26.6,22.1,37.3,10.0,7,25.91,0
47.3,94.0,39.5,60.0,13,162.46,3
32.3,39.0,30.53,10.6,20,32.53,1
27.4,23.6,36.6,20.0,7,26.44,0
25.1,30.6,36.5,10.0,10,25.44,0
26.5,21.5,36.6,15.0,6,25.83,0
48.2,90.1,39.4,105.0,17,162.38,3
32.5,40.8,37.3,30.0,14,33.17,1
32.3,39.0,31.43,2.3,20,32.53,1
36.3,39.0,28.25,3.2,14,39.39,1
25.5,36.9,37.3,5.0,9,25.83,0
25.1,49.3,36.3,5.0,10,25.94,0
26.8,33.8,37.4,10.0,9,26.45,0
42.9,56.8,38.7,60.0,16,71.83,2
29.1,32.7,37.5,45.0,11,28.13,1
25.5,42.2,36.8,10.0,6,25.99,0
37.6,72.5,38.0,30.0,15,62.76,2
32.3,41.0,31.05,0.7,13,32.91,1
26.9,36.7,36.8,15.0,6,26.64,0
37.5,65.9,38.8,60.0,14,57.26,2
25.7,57.1,36.4,5.0,10,26.54,0
25.7,46.4,36.2,5.0,10,26.23,0
32.8,41.0,26.23,1.6,14,33.68,1
31.8,40.0,30.47,28.7,21,31.99,1
32.6,47.4,37.5,15.0,14,34.82,1
26.1,57.8,36.4,15.0,10,26.95,0
34.3,42.2,37.9,15.0,10,36.56,1
25.0,20.7,36.2,20.0,10,24.99,0
26.8,45.5,36.4,10.0,6,26.99,0
31.8,40.0,30.85,29.5,21,31.99,1
37.3,80.1,38.3,45.0,16,67.7,2
32.3,39.0,31.41,3.7,20,32.53,1
40.3,91.3,39.8,75.0,12,98.31,3
41.2,76.5,38.6,90.0,12,85.5,2
29.2,65.7,37.4,30.0,13,32.36,1
26.2,35.8,37.0,5.0,6,26.16,0
33.3,50.2,37.7,15.0,12,36.96,1
27.7,32.2,36.2,15.0,8,26.98,0
25.8,31.5,36.3,10.0,9,25.8,0
26.6,39.8,36.3,10.0,6,26.57,0
47.4,93.9,39.3,75.0,12,163.22,3
30.2,46.0,29.39,2.0,10,30.72,1
26.7,27.3,36.5,5.0,6,26.14,0
49.4,71.1,39.7,90.0,13,131.55,3
29.3,44.0,29.75,2.4,8,29.33,1
30.2,46.0,29.43,6.1,10,30.72,1
40.4,93.5,39.7,90.0,12,101.99,3
25.2,36.6,36.7,20.0,6,25.68,0
36.5,32.8,37.4,30.0,14,37.74,1
26.9,31.2,36.9,10.0,9,26.4,0
31.2,33.4,37.8,15.0,13,30.3,1
26.1,47.1,36.9,20.0,6,26.53,0
38.2,59.3,38.0,60.0,13,55.2,2
32.3,39.0,31.43,6.0,20,32.53,1
37.6,41.2,37.7,45.0,11,43.05,1
37.1,70.5,38.1,60.0,11,59.0,2
32.3,39.0,31.41,2.7,20,32.53,1
27.0,28.9,36.5,10.0,6,26.38,0
25.3,51.7,36.6,10.0,9,26.11,0
26.6,48.6,37.0,10.0,6,26.98,0
27.1,22.5,36.2,10.0,10,26.22,0
27.0,34.0,37.3,20.0,9,26.58,0
49.6,91.8,39.1,120.0,13,180.29,3
32.3,39.0,30.53,7.5,20,32.53,1
32.3,39.0,31.43,3.1,20,32.53,1
27.6,33.1,37.1,15.0,10,26.95,0
38.2,78.0,38.0,90.0,12,70.46,2
49.2,70.6,40.3,75.0,16,129.07,3
26.9,42.1,36.3,20.0,7,26.89,0
46.3,88.2,40.8,75.0,17,140.98,3
26.6,47.9,36.9,5.0,6,26.95,0
26.3,33.6,36.3,20.0,6,26.14,0
35.8,50.1,37.5,45.0,13,42.67,1
37.5,60.3,38.7,45.0,13,53.37,2
32.8,41.0,26.27,1.6,14,33.68,1
26.5,45.7,36.9,10.0,7,26.77,0
40.5,34.0,34.61,4.2,14,46.13,1
26.4,52.4,37.4,20.0,6,26.99,0
42.6,80.1,38.8,90.0,11,98.95,2
25.6,43.3,36.8,15.0,10,26.08,0
39.9,48.6,38.5,90.0,12,53.46,2
26.9,25.0,37.2,5.0,9,26.18,0
49.8,76.1,39.3,105.0,13,145.23,3
42.9,71.7,39.8,120.0,17,89.44,3
47.0,84.9,40.5,60.0,16,140.4,3
36.4,57.0,37.5,20.0,10,47.75,1
26.2,39.1,36.4,15.0,8,26.29,0
30.2,46.0,29.69,0.7,10,30.72,1
28.0,25.0,36.3,15.0,7,26.89,0
31.1,58.3,37.2,20.0,9,34.63,1
36.6,53.8,37.5,20.0,9,46.62,1
27.9,28.3,36.8,15.0,9,26.95,0
25.7,29.3,36.8,15.0,10,25.67,0
30.2,46.0,29.37,6.2,10,30.72,1
32.3,39.0,30.57,7.4,20,32.53,1
36.5,68.2,38.5,30.0,15,54.92,2
40.2,56.6,38.6,90.0,13,60.57,2
25.5,57.0,36.3,20.0,9,26.37,0
43.8,77.1,38.5,30.0,11,102.59,2
38.4,67.7,38.2,45.0,14,62.39,2
45.9,84.9,40.8,75.0,15,131.23,3
32.3,39.0,31.55,1.4,20,32.53,1
29.1,69.7,37.8,15.0,10,32.89,1
32.3,39.0,31.47,7.1,20,32.53,1
30.2,46.0,29.45,4.6,10,30.72,1
31.8,40.0,30.59,27.6,21,31.99,1
27.8,26.1,36.8,10.0,10,26.79,0
43.0,27.0,34.59,6.2,14,47.6,1
32.8,35.9,37.5,15.0,10,32.68,1
30.2,46.0,29.59,1.2,10,30.72,1
36.5,69.9,38.1,45.0,14,56.08,2
29.8,47.0,29.63,0.1,10,30.33,1
31.8,40.0,30.47,28.0,21,31.99,1
25.8,33.8,37.1,15.0,6,25.88,0
41.6,78.7,38.0,45.0,16,90.64,2
35.7,75.7,38.0,45.0,11,56.72,2
36.5,70.4,38.9,45.0,16,56.43,2
32.3,39.0,31.47,4.6,20,32.53,1
49.1,75.7,39.5,60.0,14,138.75,3
27.6,24.4,36.5,15.0,9,26.6,0
32.3,39.0,31.53,1.6,20,32.53,1
25.9,32.7,36.6,5.0,7,25.89,0
30.2,46.0,29.45,6.5,10,30.72,1
26.4,45.6,36.3,20.0,6,26.69,0
26.7,46.9,37.2,10.0,10,26.98,0
43.4,64.9,38.8,30.0,12,83.56,2
26.6,24.7,37.1,10.0,8,25.99,0
25.6,26.2,36.6,10.0,9,25.51,0
41.6,27.0,32.81,7.8,14,44.82,1
32.3,39.0,31.57,2.1,20,32.53,1
25.3,23.3,36.4,5.0,9,25.25,0
25.0,57.9,37.1,10.0,8,25.98,0
32.3,39.0,31.47,3.2,20,32.53,1
32.3,41.0,30.63,31.8,21,32.91,1
49.8,69.2,39.5,60.0,15,130.61,3
40.0,81.2,38.8,45.0,16,83.88,2
42.1,77.5,38.3,90.0,13,92.2,2
26.5,22.0,37.3,20.0,6,25.84,0
26.1,24.9,36.4,20.0,6,25.72,0
25.8,42.1,36.8,15.0,10,26.16,0
32.3,39.0,30.47,10.9,20,32.53,1
46.2,79.5,40.0,120.0,15,123.64,3
33.5,69.2,37.6,45.0,9,44.72,1
42.3,76.1,38.3,45.0,15,91.6,2
45.0,72.9,40.8,90.0,14,104.11,3
34.6,50.3,37.6,15.0,9,39.85,1
25.3,44.6,36.5,5.0,8,25.95,0
42.5,75.6,38.1,90.0,11,92.17,2
32.3,39.0,31.43,9.8,20,32.53,1
36.9,80.5,38.1,90.0,16,66.0,2
43.1,61.7,38.5,90.0,12,78.2,2
28.9,45.0,29.59,1.4,8,28.98,1
42.0,52.1,38.2,90.0,12,63.53,2
26.3,46.0,36.4,15.0,8,26.63,0
45.1,95.4,40.9,105.0,12,144.44,3
27.1,34.7,37.2,15.0,6,26.68,0
34.4,54.2,37.3,20.0,11,40.87,1
26.3,24.2,36.8,20.0,6,25.8,0
44.1,90.2,39.0,90.0,16,126.02,3
37.5,59.7,38.6,90.0,11,52.98,2
41.6,75.4,38.5,60.0,11,86.51,2
40.5,50.0,38.7,60.0,16,56.42,2
36.1,80.7,38.4,60.0,11,62.19,2
35.6,51.8,38.6,90.0,12,42.91,2
30.2,46.0,29.43,1.6,10,30.72,1
38.4,82.0,38.5,90.0,14,75.4,2
25.1,20.5,37.0,20.0,9,25.03,0
35.1,51.2,38.1,30.0,13,41.4,2
30.2,46.0,29.49,1.5,10,30.72,1
25.9,27.9,36.8,10.0,7,25.72,0
25.3,22.1,37.1,5.0,9,25.2,0
40.6,65.3,39.9,120.0,16,70.12,3
40.6,97.0,40.2,120.0,15,108.42,3
48.8,90.1,39.3,105.0,12,168.17,3
30.2,40.2,37.5,30.0,14,29.95,1
41.2,97.6,39.6,75.0,14,114.16,3
40.5,67.2,38.1,30.0,14,71.53,2
34.3,58.9,37.4,30.0,12,42.54,1
26.5,24.7,37.2,5.0,8,25.93,0
26.6,23.8,36.1,5.0,7,25.96,0
42.8,80.4,39.0,75.0,16,100.72,3
36.8,78.9,38.9,45.0,14,64.18,2
26.0,29.4,36.6,10.0,9,25.82,0
27.0,25.9,36.6,20.0,9,26.27,0
35.5,55.8,38.4,60.0,11,44.48,2
43.7,78.0,40.5,90.0,12,103.27,3
37.3,63.8,38.3,30.0,15,55.0,2
37.8,64.7,38.3,45.0,14,57.57,2
25.8,46.5,36.7,10.0,6,26.3,0
32.3,39.0,31.43,2.4,20,32.53,1
44.8,85.2,39.6,60.0,13,122.94,3
25.5,56.4,36.8,5.0,9,26.36,0
37.0,63.2,38.6,45.0,14,53.49,2
41.1,61.9,38.0,30.0,13,69.07,2
40.2,74.2,38.6,60.0,13,77.26,2
